日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,MA5,MA20,MA60,收盤價_MA5,收盤價_MA20,收盤價_MA60
2025-05-19,19906139,19587640776.0,993.0,994.0,980.0,984.0,0.0,,,,,,,
2025-05-20,20897857,20438104146.0,991.0,994.0,978.0,978.0,-6.0,,,,,,,
2025-05-21,26248757,25986269430.0,986.0,999.0,983.0,990.0,12.0,,,,,,,
2025-05-22,18747545,18410089190.0,988.0,988.0,979.0,982.0,-8.0,,,,,,,
2025-05-23,22213030,21857621520.0,993.0,993.0,975.0,984.0,2.0,,21602665.6,,,983.6,,
2025-05-26,19329052,18865154752.0,975.0,984.0,975.0,976.0,-8.0,,21487248.2,,,982.0,,
2025-05-27,26355315,25432878975.0,971.0,975.0,961.0,965.0,-11.0,,22578739.8,,,979.4,,
2025-05-28,26471533,25597972411.0,984.0,985.0,967.0,967.0,2.0,,22623295.0,,,974.8,,
2025-05-29,48602590,46998704530.0,986.0,986.0,967.0,967.0,0.0,,28594304.0,,,971.8,,
2025-06-02,33676511,31857979406.0,958.0,961.0,946.0,946.0,-21.0,,30887000.2,,,964.2,,
2025-06-03,26020787,24719747650.0,960.0,965.0,950.0,950.0,4.0,,32225347.2,,,959.0,,
2025-06-04,37233567,36861231330.0,974.0,990.0,970.0,990.0,40.0,,34400997.6,,,964.0,,
2025-06-05,24414444,24365615112.0,1000.0,1000.0,991.0,998.0,8.0,,33989579.8,,,970.2,,
2025-06-06,13670307,13601955465.0,997.0,997.0,991.0,995.0,-3.0,,27003123.2,,,975.8,,
2025-06-09,21674308,21782679540.0,1005.0,1010.0,1000.0,1005.0,10.0,,24602682.6,,,987.6,,
2025-06-10,44877640,46897133800.0,1025.0,1050.0,1020.0,1045.0,40.0,,28374053.2,,,1006.6,,
2025-06-11,37178498,39595100370.0,1065.0,1070.0,1055.0,1065.0,20.0,,28363039.4,,,1021.6,,
2025-06-12,25221606,26356578270.0,1055.0,1060.0,1045.0,1045.0,-20.0,,28524471.8,,,1031.0,,
2025-06-13,28393455,29245258650.0,1040.0,1040.0,1025.0,1030.0,-15.0,,31469101.4,,,1038.0,,
2025-06-16,28580673,29295189825.0,1030.0,1030.0,1015.0,1025.0,-5.0,,32850374.4,27485680.7,,1042.0,994.35,
2025-06-17,26517379,27710661055.0,1040.0,1050.0,1035.0,1045.0,20.0,,29178322.2,27816242.7,,1042.0,997.4,
2025-06-18,37931721,40017965655.0,1040.0,1055.0,1030.0,1055.0,10.0,,29328966.8,28667935.9,,1040.0,1001.25,
2025-06-19,24002557,24842646495.0,1045.0,1045.0,1030.0,1035.0,-20.0,,29085157.0,28555625.9,,1038.0,1003.5,
2025-06-20,57831332,61012055260.0,1030.0,1055.0,1025.0,1055.0,20.0,,34972732.4,30509815.25,,1043.0,1007.15,
2025-06-23,32143872,32786749440.0,1025.0,1030.0,1015.0,1020.0,-35.0,,35685372.2,31006357.35,,1042.0,1008.95,
